Number,Name,Brand,Release_Year,Concentration,Rating_Value,Rating_Count,Main_Accords,Top_Notes,Middle_Notes,Base_Notes,Perfumers,URL
NA,Homeros Ensar Oud / Oriscent 2020 Parfum,Ensar Oud / Oriscent,2020,Parfum,8.8,64,"Woody, Spicy, Animal, Leathery, Resinous","Callitris columellaris, Castoreum, Cedarwood, Civet, Ambergris, Bergamot","Orange blossom, Currant, Saffron, Elderflower, Mimosa, Osmanthus, Persian rose","Oak wood, Papua oud, Borneo oud, White ambergris, Oud, Patchouli, Sandalwood, Tobacco, Cocoa, Deer musk, Tolu balm",NA,https://www.parfumo.com/Perfumes/ensar-oud/homeros
NA,Homeros SQ,Ensar Oud / Oriscent,NA,NA,8.4,39,"Woody, Resinous, Leathery, Smoky, Spicy","Blue cypress, Hinoki cypress, Civet, Neroli","Elderflower, Mysore sandalwood, Orange blossom, Osmanthus, Georgian rose, Jasmine, Musk","Ambergris, Borneo oud, Cambodian oud, Mysore sandalwood, Papua oud, Tibetan musk, Tonkin musk, Bourbon vanilla, Ceylonese sandalwood, Cocoa, Musk, Oakmoss, Patchouli, Tobacco, Tolu balm",NA,https://www.parfumo.com/Perfumes/ensar-oud/homeros-sq
NA,Homeros SQ Ensar Oud / Oriscent Eau de Parfum,Ensar Oud / Oriscent,NA,Eau de Parfum,NA,NA,NA,"Blue cypress, Hinoki cypress, Civet, Neroli","Elderflower, Mysore sandalwood, Orange blossom, Osmanthus, Georgian rose, Jasmine, Musk","Ambergris, Borneo oud, Cambodian oud, Mysore sandalwood, Papua oud, Tibetan musk, Tonkin musk, Bourbon vanilla, Ceylonese sandalwood, Cocoa, Musk, Oakmoss, Patchouli, Tobacco, Tolu balm",NA,https://www.parfumo.com/Perfumes/ensar-oud/homeros-sq-eau-de-parfum
NA,Homme,Aaron Terence Hughes,2020,NA,8.6,217,"Powdery, Sweet, Creamy, Woody, Spicy",Orris concrete,"Tonka bean, Amber","Sensual skin accord, Vanilla, Sandalwood, Cedarwood","Aaron Terence Hughes Brand owner, Perfume maker",https://www.parfumo.com/Perfumes/Aaron_Terence_Hughes/homme
NA,Honeysuckle Rose,Annette Neuffer,2014,NA,7.5,68,"Floral, Sweet, Citrus, Woody, Fresh","Rosewood, Bergamot","Tunisian orange blossom, Jasmine sambac, Moroccan rose, Boronia","Beeswax absolute, Ambrette seed, Bourbon vetiver, Hawaiian sandalwood",Annette Neuffer,https://www.parfumo.com/Perfumes/Annette_Neuffer/Honeysuckle_Rose
NA,Honour 43,Amouage,2021,NA,8.6,73,"Floral, Creamy, Fresh, Sweet, Green","Rhubarb leaf, Coriander, Pepper","Tuberose, Gardenia, Jasmine, Carnation, Lily of the valley","Opoponax, Sandalwood, Frankincense, Labdanum, Leather, Vetiver",Alexandra Carlin,https://www.parfumo.com/Perfumes/Amouage/honour-43
NA,Honour Man,Amouage,2011,NA,7.3,356,"Spicy, Woody, Resinous, Oriental, Smoky","Black pepper, Pink pepper","Geranium, Nutmeg","Vetiver, Cedar, Frankincense resin, Tonka bean absolute, Musk, Patchouli",Nathalie Feisthauer,https://www.parfumo.com/Perfumes/Amouage/Honour_Man
NA,Honour Man Limited Edition,Amouage,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Amouage/Honour_Man_Limited_Edition
NA,Honour Woman Amouage 2011 Eau de Parfum,Amouage,2011,Eau de Parfum,NA,NA,"Floral, Fresh, Spicy, Sweet, Creamy","Rhubarb, Black pepper, Coriander","Gardenia, Tuberose, Jasmine, Lily of the valley, Carnation","Amber, Opoponax, Vetiver, Frankincense, Leather","Alexandra Carlin, Violaine Collas",https://www.parfumo.com/Perfumes/Amouage/Honour_Woman
NA,Honour Woman Amouage 2011 Extrait de Parfum,Amouage,2011,Extrait de Parfum,8.6,21,"Fresh, Floral, Creamy, Spicy, Sweet","Rhubarb, Black pepper, Coriander","Gardenia, Tuberose, Jasmine, Lily of the valley, Carnation","Amber, Opoponax, Vetiver, Frankincense, Leather","Alexandra Carlin, Violaine Collas",https://www.parfumo.com/Perfumes/Amouage/Honour_Woman_Extrait_de_Parfum
NA,Honour Woman Amouage Attar,Amouage,NA,Attar,NA,NA,NA,"Rhubarb, Black pepper, Coriander","Gardenia, Tuberose, Jasmine, Lily of the valley, Carnation","Amber, Opoponax, Vetiver, Frankincense, Leather","Alexandra Carlin, Violaine Collas",https://www.parfumo.com/Perfumes/Amouage/honour-woman-attar
NA,Hubbi,Nabeel,NA,NA,NA,NA,NA,"Clove, Coriander, Rose, Ylang-ylang","Cedar, Geranium, Lily of the valley, Patchouli, Sandalwood","Amber, Musk, Vetiver, White musk",NA,https://www.parfumo.com/Perfumes/Nabeel/Hubbi
NA,Hun Yin,Ensar Oud / Oriscent,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/ensar-oud/hun-yin
NA,Hyang Kang,Ensar Oud / Oriscent,NA,NA,9.5,2,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/ensar-oud/hyang-kang
NA,I: Amber Oriental,Clive Christian,2017,NA,7.9,65,"Spicy, Oriental, Woody, Creamy, Resinous",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Clive_Christian/i-amber-oriental
NA,I: Woody Floral,Clive Christian,2017,NA,8.3,35,"Floral, Fruity, Woody, Sweet, Spicy","Bergamot, Mandarin orange, Pink pepper, Red fruits, Black pepper, Cardamom","Lily of the valley, Rose, Jasmine, Iris","Amber, Musk, Cedar, Oud, Patchouli, Vanilla, Vetiver",NA,https://www.parfumo.com/Perfumes/Clive_Christian/i-woody-floral
NA,Ibn Arabi,Ensar Oud / Oriscent,NA,NA,8.3,23,"Floral, Animal, Spicy, Woody, Oriental","Pineapple, Rosewood, Rosemary","Bulgarian rose, Frangipani, Black tea","Borneo oud, Patchouli, Sumatra oud, Cambodian oud",NA,https://www.parfumo.com/Perfumes/ensar-oud/ibn-arabi
NA,Iconic Essences - Amber Nabeel Eau de Parfum,Nabeel,NA,Eau de Parfum,NA,NA,NA,"Bergamot, Bulgarian rose, Cardamom, Cinnamon, Citrus notes, Floral notes, Fruity notes, Grapefruit, Honey, Neroli, Orange blossom, Oud, Patchouli, Pepper, Rum, Spicy notes, Styrax","Benzoin, Caramel, Carnation, Cypriol, Geranium, Iris, Jasmine, Rose, Saffron, Sandalwood, Vanilla, Vanilla","Amber, Coumarin, Frankincense, Labdanum, Moss, Musk, Orchid, Oud, Sandalwood, Tonka bean, Woods",NA,https://www.parfumo.com/Perfumes/Nabeel/iconic-essences-amber-eau-de-parfum
NA,Iconic Essences - Amber Nabeel Perfume Oil,Nabeel,NA,Perfume Oil,NA,NA,NA,"Bergamot, Bulgarian rose, Cardamom, Cinnamon, Citrus notes, Floral notes, Fruity notes, Grapefruit, Honey, Neroli, Orange blossom, Oud, Patchouli, Pepper, Rum, Spicy notes, Styrax","Benzoin, Caramel, Carnation, Cypriol, Geranium, Iris, Jasmine, Rose, Saffron, Sandalwood, Vanilla, Vanilla","Amber, Coumarin, Frankincense, Labdanum, Moss, Musk, Orchid, Oud, Sandalwood, Tonka bean, Woods",NA,https://www.parfumo.com/Perfumes/Nabeel/iconic-essences-amber-perfume-oil
NA,Iconic Essences - Arabian Musk Nabeel Eau de Parfum,Nabeel,NA,Eau de Parfum,NA,NA,NA,"Blackcurrant, Cherry, Mandarin orange, Plum, Raspberry, Strawberry, Styrax","Benzoin, Jasmine, Leather, Rose, Vanilla","Amber, Floral notes, Moss, Musk, Oud, Patchouli, Sandalwood, Tonka bean, Vanilla",NA,https://www.parfumo.com/Perfumes/Nabeel/iconic-essences-arabian-musk-eau-de-parfum
NA,Iconic Essences - Arabian Musk Nabeel Perfume Oil,Nabeel,NA,Perfume Oil,NA,NA,NA,"Blackcurrant, Cherry, Mandarin orange, Plum, Raspberry, Strawberry, Styrax","Benzoin, Jasmine, Leather, Rose, Vanilla","Amber, Floral notes, Moss, Musk, Oud, Patchouli, Sandalwood, Tonka bean, Vanilla",NA,https://www.parfumo.com/Perfumes/Nabeel/iconic-essences-arabian-musk-perfume-oil
NA,Iconic Essences - Bergamot Nabeel 2016 Eau de Parfum,Nabeel,2016,Eau de Parfum,NA,NA,NA,"Bergamot, Citrus notes, Green notes, Mandarin orange, Neroli, Orange blossom, Petitgrain, Rosemary, Tobacco","Basil, Cedarwood, Jasmine, Mint, Patchouli, Provençal lavender, Rosa centifolia, Rose, Sandalwood","Amber, Moss, Sandalwood, Vetiver",NA,https://www.parfumo.com/Perfumes/Nabeel/iconic-essences-bergamot-eau-de-parfum
NA,Iconic Essences - Bergamot Nabeel Perfume Oil,Nabeel,NA,Perfume Oil,NA,NA,NA,"Bergamot, Citrus notes, Green notes, Mandarin orange, Neroli, Orange blossom, Petitgrain, Rosemary, Tobacco","Basil, Cedarwood, Jasmine, Mint, Patchouli, Provençal lavender, Rosa centifolia, Rose, Sandalwood","Amber, Moss, Sandalwood, Vetiver",NA,https://www.parfumo.com/Perfumes/Nabeel/iconic-essences-bergamot-perfume-oil
NA,Iconic Essences - Oud Vetiver Nabeel Eau de Parfum,Nabeel,NA,Eau de Parfum,7.3,3,NA,"Apple, Bergamot, Fruity notes, Ginger, Oriental notes, Saffron, Tobacco, Vetiver","Cardamom, Oud, Pepper, Rosa centifolia","Amber, Ceylonese sandalwood, Gaiac wood, Leather, Musky notes, Oud, Patchouli, Sandalwood, Sandalwood",NA,https://www.parfumo.com/Perfumes/Nabeel/iconic-essences-oud-vetiver-eau-de-parfum
NA,Iconic Essences - Oud Vetiver Nabeel Perfume Oil,Nabeel,NA,Perfume Oil,NA,NA,NA,"Apple, Bergamot, Fruity notes, Ginger, Oriental notes, Saffron, Tobacco, Vetiver","Cardamom, Oud, Pepper, Rosa centifolia","Amber, Ceylonese sandalwood, Gaiac wood, Leather, Musky notes, Oud, Patchouli, Sandalwood, Sandalwood",NA,https://www.parfumo.com/Perfumes/Nabeel/iconic-essences-oud-vetiver-perfume-oil
NA,Iconic Essences - Patchouli Nabeel Eau de Parfum,Nabeel,NA,Eau de Parfum,NA,NA,NA,"Bergamot, Blackcurrant, Bulgarian rose, Cherry, Floral notes, Fresh notes, Fruity notes, Green notes, Mandarin orange, Plum, Raspberry, Rose, Rosemary, Strawberry, Woody notes","Aromatic notes, Basil, Benzoin, Cashmere wood, Cypriol, Dry woods, Jasmine, Mint, Papyrus, Provençal lavender, Rose, Saffron, Sandalwood","Amber, Frankincense, Leather, Moss, Musk, Oud, Patchouli, Sandalwood, Vanilla, Vetiver, Woods",NA,https://www.parfumo.com/Perfumes/Nabeel/iconic-essences-patchouli-eau-de-parfum
NA,Iconic Essences - Patchouli Nabeel Perfume Oil,Nabeel,NA,Perfume Oil,NA,NA,NA,"Bergamot, Blackcurrant, Bulgarian rose, Cherry, Floral notes, Fresh notes, Fruity notes, Green notes, Mandarin orange, Plum, Raspberry, Rose, Rosemary, Strawberry, Woody notes","Aromatic notes, Basil, Benzoin, Cashmere wood, Cypriol, Dry woods, Jasmine, Mint, Papyrus, Provençal lavender, Rose, Saffron, Sandalwood","Amber, Frankincense, Leather, Moss, Musk, Oud, Patchouli, Sandalwood, Vanilla, Vetiver, Woods",NA,https://www.parfumo.com/Perfumes/Nabeel/iconic-essences-patchouli-perfume-oil
NA,Iconic Essences - Rose Nabeel Eau de Parfum,Nabeel,NA,Eau de Parfum,NA,NA,NA,"Aldehydes, Floral notes, Green notes, Rose, Rose, White blossoms, Woody notes","Amber, Clove, Geranium, Lily, Taif rose, Tuberose, Vetiver","Dry woods, Musk, Rose wax",NA,https://www.parfumo.com/Perfumes/Nabeel/iconic-essences-rose-eau-de-parfum
NA,Iconic Essences - Rose Nabeel Perfume Oil,Nabeel,NA,Perfume Oil,NA,NA,NA,"Aldehydes, Floral notes, Green notes, Orange, Pink pepper, Rose, Rose, White blossoms, Woody notes","Honey, Amber, Chamomile, Clove, Geranium, Lily, Taif rose, Tuberose, Vetiver","Dry woods, Musk, Rose wax, Sandalwood",NA,https://www.parfumo.com/Perfumes/Nabeel/iconic-essences-rose-perfume-oil
NA,Iconic Essences - Sandal Nabeel Eau de Parfum,Nabeel,NA,Eau de Parfum,NA,NA,NA,"Cardamom, Chamomile, Moss, Mysore sandalwood, Rose, Vanilla","Amber, Cedarwood, Saffron, Spicy notes, Woody notes","Leather, Musk, Oud, Sandalwood, Violet",NA,https://www.parfumo.com/Perfumes/Nabeel/iconic-essences-sandal-eau-de-parfum
NA,Iconic Essences - Sandal Nabeel Perfume Oil,Nabeel,NA,Perfume Oil,NA,NA,NA,"Cardamom, Chamomile, Moss, Mysore sandalwood, Rose, Vanilla","Amber, Cedarwood, Saffron, Spicy notes, Woody notes","Leather, Musk, Oud, Sandalwood, Violet",NA,https://www.parfumo.com/Perfumes/Nabeel/iconic-essences-sandal-perfume-oil
NA,Illusion,Nabeel,NA,NA,NA,NA,NA,"Strawberry, Bergamot, Lime, Pineapple, Plum","Rose, Gardenia, Jasmine, Lily","Vanilla, Cedar, Ambergris, Musk, Sandalwood",NA,https://www.parfumo.com/Perfumes/Nabeel/Illusion
NA,Imitation Man,Amouage,2018,NA,7.4,267,"Floral, Leathery, Spicy, Woody, Powdery","Black pepper, Citron, Nutmeg","Violet, Turkish rose absolute, Iris","Leather, Patchouli, Myrrh, Vetiver, Castoreum",Leslie Girard,https://www.parfumo.com/Perfumes/Amouage/Imitation_Man
NA,Imitation Woman,Amouage,2018,NA,7.4,186,"Floral, Fruity, Sweet, Spicy, Green","Jasmine, Orange blossom, Rose, Ylang-ylang","Blackcurrant bud, Aldehydes, Liquorice","Sandalwood, Frankincense, Patchouli",Pierre Negrin,https://www.parfumo.com/Perfumes/Amouage/Imitation_Woman
NA,Incense Rori,Amouage,2021,NA,8,23,"Resinous, Spicy, Woody, Smoky, Sweet",Frankincense,Cedarwood,Oakmoss,Julien Rasquinet,https://www.parfumo.com/Perfumes/Amouage/incense-rori
NA,Indigenous People's Silani,Ensar Oud / Oriscent,2024,NA,8.3,3,"Green, Woody, Floral, Spicy, Smoky",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/ensar-oud/indigenous-people-s-silani
NA,Indolis,Areej Le Doré,2018,NA,7.9,35,"Floral, Green, Woody, Spicy, Creamy","Gardenia, Indonesian jasmine, Jasmine absolute","Ginger, Lime, Pineapple, Omani frankincense, Tangerine","Oakmoss, Benzoin, Australian sandalwood, Chinese green tea, Indian galbanum, Indonesian sandalwood, Lavender absolute, Tonka bean absolute",NA,https://www.parfumo.com/Perfumes/Areej_Le_Dore/Indolis
NA,Innuendo Creation-I Roja Parfums 2012 Eau de Parfum,Roja Parfums,2012,Eau de Parfum,8.2,83,"Floral, Sweet, Spicy, Woody, Creamy","Bergamot, Orange, Lemon","Rose, Ylang-ylang, Jasmine, Violet","Musk, Iris, Labdanum, Sandalwood, Tonka bean, Patchouli",Roja Dove,https://www.parfumo.com/Perfumes/Roja_Parfums/Innuendo_Creation_I_Eau_de_Parfum
NA,Innuendo Creation-I Roja Parfums 2012 Parfum,Roja Parfums,2012,Parfum,8.4,85,"Floral, Powdery, Sweet, Fresh, Spicy","Bergamot, Orange, Lemon","Rose, Ylang-ylang, Jasmine, Violet","Musk, Iris, Labdanum, Sandalwood, Tonka bean, Patchouli",Roja Dove,https://www.parfumo.com/Perfumes/Roja_Parfums/Innuendo_Creation_I_Parfum
NA,Insaaf,Nabeel,NA,NA,NA,NA,NA,"Lime, Pear, Pineapple","Lily of the valley, Orchid","Ambergris, Cedar, Musk, Sandalwood",NA,https://www.parfumo.com/Perfumes/Nabeel/Insaaf
NA,Interlude 53,Amouage,2020,NA,8.4,379,"Smoky, Spicy, Oriental, Woody, Resinous","Oregano, Pimento, Bergamot","Frankincense, Opoponax, Amber, Cistus","Leather, Oud, Patchouli, Sandalwood",Pierre Negrin,https://www.parfumo.com/Perfumes/Amouage/interlude-53
NA,Interlude Black Iris,Amouage,2020,NA,8.1,731,"Smoky, Spicy, Woody, Oriental, Resinous","Rosemary, Violet leaf, Bergamot","Frankincense, Myrrh, Orris butter, Amber, Cistus, Florentine iris absolute, Vanilla","Cedarwood, Patchouli, Sandalwood, Smoked leather, Oud",Pierre Negrin,https://www.parfumo.com/Perfumes/Amouage/interlude-black-iris
NA,Interlude Man,Amouage,2012,NA,NA,NA,"Smoky, Spicy, Oriental, Woody, Resinous","Oregano, Pimento, Bergamot","Frankincense, Opoponax, Amber, Cistus","Leather, Oud, Patchouli, Sandalwood",Pierre Negrin,https://www.parfumo.com/Perfumes/Amouage/Interlude_Man
NA,Interlude Man Amouage Attar,Amouage,NA,Attar,NA,NA,NA,"Oregano, Pimento, Bergamot","Frankincense, Opoponax, Amber, Cistus","Leather, Oud, Patchouli, Sandalwood",Pierre Negrin,https://www.parfumo.com/Perfumes/Amouage/interlude-man-attar
NA,Interlude Man Limited Edition,Amouage,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Amouage/Interlude_Man_Limited_Edition
NA,Interlude Woman Amouage 2012 Eau de Parfum,Amouage,2012,Eau de Parfum,7.4,301,"Spicy, Woody, Oriental, Floral, Resinous","Tagetes, Ginger, Grapefruit, Bergamot","Everlasting flower, Frankincense, Opoponax, Orange blossom, Rose absolute, Jasmine","Amber, Benzoin, Sandalwood, Animalic notes, Leather, Musk, Oakmoss, Oud, Tonka bean, Vanilla",Karine Vinchon-Spehner,https://www.parfumo.com/Perfumes/Amouage/Interlude_Woman
NA,Interlude Woman Amouage Extrait de Parfum,Amouage,NA,Extrait de Parfum,9,22,"Woody, Spicy, Sweet, Leathery, Oriental","Tagetes, Ginger, Grapefruit, Bergamot","Everlasting flower, Frankincense, Opoponax, Orange blossom, Rose absolute, Jasmine","Amber, Benzoin, Sandalwood, Animalic notes, Leather, Musk, Oakmoss, Oud, Tonka bean, Vanilla",Karine Vinchon-Spehner,https://www.parfumo.com/Perfumes/Amouage/Interlude_Woman_Extrait_de_Parfum
NA,Inverno Russo,Areej Le Doré,2017,NA,7.5,41,"Spicy, Animal, Floral, Oriental, Woody","White pepper absolute, White rose otto","Deer musk, Civet, Clove, Cardamom, Champaca flower, Indian sandalwood, Osmanthus absolute, Peach blossom absolute, Tonka bean absolute, Gardenia, Omani white frankincense","Chinese oud, Benzoin, Betel leaf, Indian oud, Indonesian oud, Virginia cedar",NA,https://www.parfumo.com/Perfumes/Areej_Le_Dore/Inverno_Russo
NA,Irian Green,Ensar Oud / Oriscent,NA,NA,8.3,31,"Woody, Green, Spicy, Resinous, Animal",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/ensar-oud/irian-green
NA,Iris Blanc,Ensar Oud / Oriscent,2023,NA,7.9,47,"Floral, Woody, Creamy, Sweet, Powdery","Omani green frankincense, White cedar, White cypress, White tea, Neroli","Blue lotus, Turkish rose, White champaca, Jasmine sambac","Borneo oud, Orris butter absolute, Sandalwood, Ambergris, Tonka bean",NA,https://www.parfumo.com/Perfumes/ensar-oud/iris-blanc
NA,Iris Ghalia Attar,Ensar Oud / Oriscent,2023,NA,9.8,18,"Animal, Fruity, Woody, Floral, Sweet",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/ensar-oud/iris-ghalia-attar
NA,Iris Ghalia Ensar Oud / Oriscent 2019 Parfum,Ensar Oud / Oriscent,2019,Parfum,8.9,151,"Animal, Floral, Fruity, Woody, Spicy",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/ensar-oud/iris-ghalia-parfum
NA,Iris Ghalia Ensar Oud / Oriscent Eau de Parfum,Ensar Oud / Oriscent,NA,Eau de Parfum,8.8,2,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/ensar-oud/iris-ghalia-eau-de-parfum
NA,Iris Noir Attar,Ensar Oud / Oriscent,NA,NA,8.7,16,"Oriental, Powdery, Sweet, Spicy, Woody",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/ensar-oud/Iris_Noir
NA,Iris Noir Ensar Oud / Oriscent 2020 Pure Parfum,Ensar Oud / Oriscent,2020,Pure Parfum,8.5,21,"Floral, Woody, Creamy, Animal, Spicy",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/ensar-oud/iris-noir-pure-parfum
NA,Iris Noir Ensar Oud / Oriscent Eau de Parfum,Ensar Oud / Oriscent,NA,Eau de Parfum,7.3,3,"Sweet, Green, Fresh, Earthy, Floral",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/ensar-oud/iris-noir-eau-de-parfum
NA,Iris Noir OG,Ensar Oud / Oriscent,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/ensar-oud/iris-noir-og
NA,Irth Fairooz إرث فيروز,Nabeel,2024,NA,7.9,4,"Fresh, Floral","Bergamot, Grapefruit, Mandarin orange","Lily of the valley, Orange blossom, Peony","Cashmeran, Oakmoss, Vanilla",NA,https://www.parfumo.com/Perfumes/Nabeel/irth-fairooz
NA,Irth,Nabeel,NA,NA,8,41,"Sweet, Oriental, Spicy, Fruity, Synthetic","Apple, Candied fruits, Coconut, Cumin, Damask rose, Dried fruits, Peach, Strawberry, Bergamot, Blackcurrant, Cardamom, Cinnamon, Coffee, Orange, Pepper, Pineapple, Pink pepper, Spicy notes","Rose, Lily of the valley, Oud, Violet, Amyris, Cedarwood, Coriander, Cypriol, Iris, Jasmine, Saffron, Sandalwood","Balsam, Patchouli, White musk, Frankincense, Tolu balm, Civet, Smoky notes, Amber, Ambergris, Cistus, Gaiac wood, Labdanum, Leather, Moss, Oakmoss, Sandalwood, Vanilla, Vetiver",NA,https://www.parfumo.com/Perfumes/Nabeel/irth
NA,Isola Blu Oligarch Roja Parfums 2022 Parfum,Roja Parfums,2022,Parfum,NA,NA,"Fresh, Citrus, Spicy, Green, Woody","Lime, Bergamot, Lavender, Thyme, Lemon","Blackcurrant, Champaca flower, Orange blossom, Apple, Grasse jasmine, Coconut, Lily","Juniper berry, Cedarwood, Grass, Oakmoss, Patchouli, Amber, Ambergris, Aniseed, Birch, Galbanum, Iris, Leather, Maté, Musk, Pink pepper, Vanilla, Tonka bean",Roja Dove,https://www.parfumo.com/Perfumes/Roja_Parfums/isola-blu-parfum-oligarch-parfum
NA,Isola Sol,Roja Parfums,2024,NA,7.1,147,"Floral, Fruity, Creamy, Citrus, Sweet","Peach, Apricot, Mandarin orange, Bergamot, Lemon, Petitgrain","Jasmine sambac, Coconut, Ylang-ylang, Neroli","Ambroxan, Musk, Amyris, Cedarwood, Salty notes, Sandalwood, Pink pepper",Roja Dove,https://www.parfumo.com/Perfumes/Roja_Parfums/isola-sol
NA,Ivoire,Chanel,1932,NA,NA,NA,NA,"Aldehydes, Bergamot, Neroli","Carnation, Jasmine, Lilac, Rose, Ylang-ylang","Coumarin, Frankincense, Iralia®, Musk, Opoponax, Orris root, Sandalwood, Vetiver",Ernest Beaux,https://www.parfumo.com/Perfumes/Chanel/Ivoire_de_Chanel
NA,Jalwa,Nabeel,NA,NA,NA,NA,NA,"Iris, Rose","Patchouli, Vanilla",Musk,NA,https://www.parfumo.com/Perfumes/Nabeel/Jalwa
NA,Jamaican Ambergris Attar,Ensar Oud / Oriscent,2023,NA,9.4,29,"Woody, Spicy, Fruity, Sweet, Animal",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/ensar-oud/jamaican-ambergris-attar
NA,Jamaican Ambergris,Ensar Oud / Oriscent,2024,NA,9,27,"Woody, Aquatic, Sweet, Fruity, Floral",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/ensar-oud/jamaican-ambergris
NA,Jamaican Ambergris Maroke SQ,Ensar Oud / Oriscent,2023,NA,9.2,44,"Floral, Resinous, Woody, Sweet, Aquatic",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/ensar-oud/jamaican-ambergris-maroke-sq
NA,Jamaican Ambergris Pinoy LTD,Ensar Oud / Oriscent,2022,NA,8.7,30,"Fruity, Animal, Sweet, Aquatic, Floral",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/ensar-oud/jamaican-ambergris-pinoy-ltd
NA,Jamila,Nabeel,NA,NA,NA,NA,NA,"Jasmine, Lemon, Orange, Saffron, Spicy notes","Green notes, Patchouli, Rose, Sandalwood, White blossoms","Amber, Sweet notes, Vanilla, White musk, Woody notes",NA,https://www.parfumo.com/Perfumes/Nabeel/Jamila
NA,Jannet El Baqui,Nabeel,NA,NA,8.2,3,"Floral, Spicy, Woody, Sweet, Oriental","Spices, Aldehydes, Lemon","Bourbon geranium, Violet, Saffron, Madagascan ylang-ylang, Rose","Tonka bean, Papyrus, White musk, Patchouli, Sandalwood",NA,https://www.parfumo.com/Perfumes/Nabeel/Jannet_El_Baqui
NA,Jannet El Firdaus,Nabeel,NA,NA,NA,NA,NA,"Aldehydes, Clove, Lemon","Geranium, Grasse jasmine, Violet","Cedarwood, Oakmoss, White musk",NA,https://www.parfumo.com/Perfumes/Nabeel/Jannet_El_Firdaus
NA,Jardin de Moghul,Nabeel,NA,NA,NA,NA,NA,"Bergamot, Freesia, Lemon","Iris, Jasmine, Rose, Violet","Musk, Sandalwood, Tonka bean, Vanilla, Vetiver","Asghar Adam Ali Brand owner, Perfumemaker",https://www.parfumo.com/Perfumes/Nabeel/Jardin_de_Moghul
NA,Jasmin,Chanel,NA,NA,NA,NA,"Woody, Floral, Powdery",NA,NA,NA,Ernest Beaux,https://www.parfumo.com/Perfumes/Chanel/Jasmin
NA,Jasmine Absolute,Clive Christian,2016,NA,9.7,3,NA,"Bergamot, Cardamom, Ginger, Juniper, Mandarin orange, Peach, Pink pepper","Cinnamon, Egyptian jasmine, Iris, Jasmine sambac, Lily of the valley, Narcissus, Rose, Tuberose","Ambergris, Cedar, Lichen, Musk, Patchouli, Rum, Sandalwood, Vanilla, Vetiver",NA,https://www.parfumo.com/Perfumes/Clive_Christian/Jasmine_Absolute
NA,Jasmine,Amouage,NA,NA,8.5,12,"Floral, Oriental, Animal, Fresh, Powdery",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Amouage/Jasmine
NA,Jasmine Narcotique,Aaron Terence Hughes,2020,NA,7.8,33,"Floral, Powdery, Spicy, Creamy, Sweet","Jasmine sambac, Night-blooming jasmine","Cocaine, Suede",Musk,"Aaron Terence Hughes Brand owner, Perfume maker",https://www.parfumo.com/Perfumes/Aaron_Terence_Hughes/jasmine-narcotique
NA,Jasmine Narcotique,Aaron Terence Hughes,2021,NA,7.7,12,"Floral, Woody, Spicy, Sweet, Powdery","Egyptian jasmine absolute, Jasmine tea",Jasmine sambac,"Amber, Musk, Patchouli, Rosewood","Aaron Terence Hughes Brand owner, Perfume maker",https://www.parfumo.com/Perfumes/Aaron_Terence_Hughes/jasmine-narcotique-2021
NA,"Jasmine, Amber & Rose",Aaron Terence Hughes,2019,NA,6.8,6,"Spicy, Oriental","Damask rose, Jasmine",Vanilla,"Amber, Burmese oud, Musk","Aaron Terence Hughes Brand owner, Perfume maker",https://www.parfumo.com/Perfumes/Aaron_Terence_Hughes/Jasmine_Amber__Rose
NA,Jaya,Ensar Oud / Oriscent,2023,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/ensar-oud/jaya
NA,Jaziyah,Nabeel,NA,NA,NA,NA,NA,"Pink pepper, Rose","Amber, Geranium","Frankincense, Patchouli",NA,https://www.parfumo.com/Perfumes/Nabeel/Jaziyah
NA,Jersey Chanel 2011 Eau de Toilette,Chanel,2011,Eau de Toilette,7.6,312,"Floral, Powdery, Green, Fresh, Sweet",NA,NA,NA,Jacques Polge,https://www.parfumo.com/Perfumes/Chanel/Les_Exclusifs_de_Chanel__Jersey_Eau_de_Toilette
